""	"Month"	"DayOfWeek"	"TimeOfDay"	"Status"	"NumberOfFlights"
"272"	"Aug"	"Wed"	"Morning"	"Long Delay"	462
"273"	"Aug"	"Wed"	"Morning"	"Medium Delay"	879
"274"	"Aug"	"Wed"	"Morning"	"On Time"	4051
"275"	"Aug"	"Wed"	"Morning"	"Short Delay"	581
"276"	"Aug"	"Wed"	"Night"	"Cancelled"	17
"277"	"Aug"	"Wed"	"Night"	"Long Delay"	187
"278"	"Aug"	"Wed"	"Night"	"Medium Delay"	236
"279"	"Aug"	"Wed"	"Night"	"On Time"	636
"280"	"Aug"	"Wed"	"Night"	"Short Delay"	110
"281"	"Dec"	"Fri"	"Evening"	"Cancelled"	199
"282"	"Dec"	"Fri"	"Evening"	"Long Delay"	1693
"283"	"Dec"	"Fri"	"Evening"	"Medium Delay"	2632
"284"	"Dec"	"Fri"	"Evening"	"On Time"	4128
"285"	"Dec"	"Fri"	"Evening"	"Short Delay"	1069
"286"	"Dec"	"Fri"	"Mid-Day"	"Cancelled"	219
"287"	"Dec"	"Fri"	"Mid-Day"	"Long Delay"	1476
"288"	"Dec"	"Fri"	"Mid-Day"	"Medium Delay"	2691
"289"	"Dec"	"Fri"	"Mid-Day"	"On Time"	4969
"290"	"Dec"	"Fri"	"Mid-Day"	"Short Delay"	1298
"291"	"Dec"	"Fri"	"Morning"	"Cancelled"	114
"292"	"Dec"	"Fri"	"Morning"	"Long Delay"	478
"293"	"Dec"	"Fri"	"Morning"	"Medium Delay"	1204
"294"	"Dec"	"Fri"	"Morning"	"On Time"	2801
"295"	"Dec"	"Fri"	"Morning"	"Short Delay"	644
"296"	"Dec"	"Fri"	"Night"	"Cancelled"	31
"297"	"Dec"	"Fri"	"Night"	"Long Delay"	149
"298"	"Dec"	"Fri"	"Night"	"Medium Delay"	208
"299"	"Dec"	"Fri"	"Night"	"On Time"	384
"300"	"Dec"	"Fri"	"Night"	"Short Delay"	69
"301"	"Dec"	"Mon"	"Evening"	"Cancelled"	206
"302"	"Dec"	"Mon"	"Evening"	"Long Delay"	1597
"303"	"Dec"	"Mon"	"Evening"	"Medium Delay"	2529
"304"	"Dec"	"Mon"	"Evening"	"On Time"	4845
